DATASET		KNN		SVM		LR		nb		mlp		dt_gini		dt_entropy
ionosphere		90.659		98.249		90.736		93.061		97.587		86.253		86.793
wdbc		93.103		97.655		94.721		95.821		97.504		89.019		89.483
sonar		89.919		94.023		90.771		90.454		93.769		83.048		83.793
Leukemia		91.832		95.108		92.909		92.608		92.491		83.147		83.906
HillValley		84.608		86.81		94.289		84.188		86.265		78.195		78.778
Colon		84.231		86.501		92.672		80.698		85.789		76.977		77.42
liver-disorders		81.78		84.527		89.534		78.33		84.007		74.842		75.266

DATASET		KNN		SVM		LR		nb		mlp		dt_gini		dt_entropy
ionosphere		93.135		99.643		96.151		94.405		98.968		83.374		84.206
wdbc		94.212		97.338		97.105		96.35		98.616		88.454		87.13
sonar		90.362		94.462		92.963		89.368		94.408		82.376		83.454
Leukemia		92.12		95.846		94.722		92.026		94.304		84.777		85.767
HillValley		85.599		88.644		95.778		83.153		88.447		79.638		80.03
Colon		83.833		88.354		93.704		76.834		87.651		78.567		77.102
liver-disorders		81.899		86.895		90.924		74.646		86.7		75.862		75.047


ddd
DATASET		KNN		SVM		LR		nb		mlp		dt_gini		dt_entropy
ionosphere		87.848		99.381		90.635		94.35		97.046		85.599		89.876
wdbc		91.949		98.895		94.602		96.978		97.75		86.952		91.257
sonar		87.449		95.139		90.688		87.607		93.736		79.524		82.122
Leukemia		90.363		95.015		93.016		90.705		92.199		80.625		82.574
HillValley		83.148		86.77		94.413		82.347		85.866		77.061		78.49
Colon		81.095		86.197		92.963		79.336		85.457		77.795		79.215
liver-disorders		79.578		84.803		89.499		76.688		83.747		75.698		76.164


DATASET		KNN		SVM		LR		nb		mlp		dt_gini		dt_entropy
ionosphere		90.909		98.199		90.824		93.972		97.396		86.896		87.341
wdbc		93.488		97.777		94.863		96.295		97.788		89.729		90.143
sonar		90.248		94.629		91.227		90.879		94.173		83.69		84.577
Leukemia		92.236		95.644		93.376		92.817		93.673		83.854		84.698
HillValley		85.004		87.02		94.671		84.349		87.299		78.713		79.499
Colon		84.596		86.968		92.927		80.635		86.78		77.307		77.737
liver-disorders		82.081		84.893		89.741		78.337		84.879		74.9		75.579


DATASET		KNN		SVM		LR		nb		mlp		dt_gini		dt_entropy
ionosphere		90.393		98.444		90.964		94.204		97.03		87.119		86.832
wdbc		92.912		97.691		94.721		96.394		97.475		89.45		89.842
sonar		90.282		94.55		91.16		90.415		93.914		83.549		84.484
Leukemia		92.25		95.444		93.288		92.261		93.222		84.291		84.755
HillValley		84.95		86.935		94.599		83.842		86.477		79.106		79.5
Colon		84.419		86.771		93.111		80.086		86.347		77.896		78.429
liver-disorders		81.921		84.669		89.879		77.777		84.481		75.793		76.115
